field,name,ra,dec
528,UW528,239.2719249563716,14.525360008832603
529,UW529,241.82348104943605,14.525360008832603
530,UW530,244.3750371425005,14.525360008832603
531,UW531,246.92659323556495,14.525360008832603
532,UW532,249.4781493286294,14.525360008832603
533,UW533,252.02970542169385,14.525360008832603
534,UW534,254.5812615147583,14.525360008832603
535,UW535,113.81142852689058,16.330360008832603
536,UW536,116.38526631388402,16.330360008832603
537,UW537,118.95910410087745,16.330360008832603
538,UW538,121.53294188787089,16.330360008832603
539,UW539,124.10677967486433,16.330360008832603
540,UW540,126.68061746185776,16.330360008832603
541,UW541,129.25445524885123,16.330360008832603
542,UW542,131.82829303584464,16.330360008832603
543,UW543,134.4021308228381,16.330360008832603
544,UW544,136.9759686098315,16.330360008832603
545,UW545,139.54980639682498,16.330360008832603
546,UW546,142.12364418381839,16.330360008832603
547,UW547,144.69748197081185,16.330360008832603
548,UW548,147.27131975780526,16.330360008832603
549,UW549,149.84515754479872,16.330360008832603
550,UW550,152.41899533179213,16.330360008832603
551,UW551,154.9928331187856,16.330360008832603
552,UW552,157.566670905779,16.330360008832603
553,UW553,160.14050869277247,16.330360008832603
554,UW554,162.71434647976588,16.330360008832603
555,UW555,165.28818426675934,16.330360008832603
556,UW556,167.86202205375275,16.330360008832603
557,UW557,170.43585984074622,16.330360008832603
558,UW558,173.00969762773963,16.330360008832603
559,UW559,175.5835354147331,16.330360008832603
560,UW560,178.1573732017265,16.330360008832603
561,UW561,180.73121098871997,16.330360008832603
562,UW562,183.30504877571337,16.330360008832603
563,UW563,185.87888656270684,16.330360008832603
564,UW564,188.45272434970025,16.330360008832603
565,UW565,191.0265621366937,16.330360008832603
566,UW566,193.60039992368712,16.330360008832603
567,UW567,196.1742377106806,16.330360008832603
568,UW568,198.748075497674,16.330360008832603
569,UW569,201.32191328466746,16.330360008832603
570,UW570,203.89575107166087,16.330360008832603
571,UW571,206.46958885865433,16.330360008832603
572,UW572,209.04342664564774,16.330360008832603
573,UW573,211.6172644326412,16.330360008832603
574,UW574,214.19110221963462,16.330360008832603
575,UW575,216.76494000662808,16.330360008832603
576,UW576,219.3387777936215,16.330360008832603
577,UW577,221.91261558061495,16.330360008832603
578,UW578,224.48645336760836,16.330360008832603
579,UW579,227.06029115460183,16.330360008832603
580,UW580,229.63412894159524,16.330360008832603
581,UW581,232.2079667285887,16.330360008832603
582,UW582,234.7818045155821,16.330360008832603
583,UW583,237.35564230257557,16.330360008832603
584,UW584,239.92948008956898,16.330360008832603
585,UW585,242.50331787656245,16.330360008832603
586,UW586,245.07715566355586,16.330360008832603
587,UW587,247.65099345054932,16.330360008832603
588,UW588,250.22483123754273,16.330360008832603
589,UW589,252.7986690245362,16.330360008832603
590,UW590,255.3725068115296,16.330360008832603
591,UW591,113.32527341899463,18.135360008832603
592,UW592,115.9243874846713,18.135360008832603
593,UW593,118.52350155034797,18.135360008832603
594,UW594,121.12261561602465,18.135360008832603
595,UW595,123.72172968170132,18.135360008832603
596,UW596,126.32084374737799,18.135360008832603
597,UW597,128.91995781305468,18.135360008832603
598,UW598,131.51907187873132,18.135360008832603
599,UW599,134.11818594440803,18.135360008832603
600,UW600,136.71730001008467,18.135360008832603
601,UW601,139.31641407576137,18.135360008832603
602,UW602,141.91552814143802,18.135360008832603
603,UW603,144.51464220711472,18.135360008832603
604,UW604,147.11375627279136,18.135360008832603
605,UW605,149.71287033846806,18.135360008832603
606,UW606,152.3119844041447,18.135360008832603
607,UW607,154.9110984698214,18.135360008832603
608,UW608,157.51021253549806,18.135360008832603
609,UW609,160.10932660117476,18.135360008832603
610,UW610,162.7084406668514,18.135360008832603
611,UW611,165.3075547325281,18.135360008832603
612,UW612,167.90666879820475,18.135360008832603
613,UW613,170.50578286388145,18.135360008832603
614,UW614,173.1048969295581,18.135360008832603
615,UW615,175.7040109952348,18.135360008832603
616,UW616,178.30312506091144,18.135360008832603
617,UW617,180.90223912658814,18.135360008832603
618,UW618,183.5013531922648,18.135360008832603
619,UW619,186.1004672579415,18.135360008832603
620,UW620,188.69958132361813,18.135360008832603
621,UW621,191.29869538929483,18.135360008832603
622,UW622,193.89780945497148,18.135360008832603
623,UW623,196.49692352064818,18.135360008832603
